Estado,Ciudad,Tipo,Canal,día,mes,año,dia_semana,Precio_lag1,Precio_mean7,Precio_sugerido
Tamaulipas,Matamoros,Pasteurizada,Tiendas,5,8,2025,1,30.5,30.5,30.492627582989975
Tamaulipas,Matamoros,Ultrapasteurizada,Autoservicios,5,8,2025,1,36.13,36.13,36.11897328411643
Tamaulipas,Matamoros,Ultrapasteurizada,Tiendas,5,8,2025,1,38.0,38.0,38.0
Tamaulipas,Nuevo Laredo,Pasteurizada,Autoservicios,5,8,2025,1,27.03,27.03,27.043835263067738
Tamaulipas,Nuevo Laredo,Pasteurizada,Tiendas,5,8,2025,1,28.13,28.13,28.136644729445813
Tamaulipas,Nuevo Laredo,Ultrapasteurizada,Autoservicios,5,8,2025,1,33.13,33.13,33.14964867923859
Tamaulipas,Nuevo Laredo,Ultrapasteurizada,Tiendas,5,8,2025,1,32.5,32.5,32.4776338304157
Tamaulipas,Reynosa,Pasteurizada,Autoservicios,5,8,2025,1,28.83,28.82999999999999,28.836359880949644
Tamaulipas,Reynosa,Pasteurizada,Tiendas,5,8,2025,1,29.63,29.63,29.640481872653734
Tamaulipas,Reynosa,Ultrapasteurizada,Autoservicios,5,8,2025,1,27.81,27.81,27.837902718183667
Tamaulipas,Tampico,Pasteurizada,Autoservicios,5,8,2025,1,19.1,18.97142857142857,18.995608162043418
Tamaulipas,Tampico,Pasteurizada,Tiendas,5,8,2025,1,18.5,18.114285714285714,18.429085767587104
Tamaulipas,Tampico,Ultrapasteurizada,Autoservicios,5,8,2025,1,26.6,26.7,26.672615306276068
Tamaulipas,Tampico,Ultrapasteurizada,Tiendas,5,8,2025,1,23.0,23.3,23.215823688330026
Tlaxcala,Tlaxcala,Pasteurizada,Autoservicios,5,8,2025,1,27.5,27.5,27.494737830656955
Tlaxcala,Tlaxcala,Pasteurizada,Tiendas,5,8,2025,1,29.0,29.0,29.00599409309366
Tlaxcala,Tlaxcala,Ultrapasteurizada,Autoservicios,5,8,2025,1,35.38,35.38,35.38048958404894
Tlaxcala,Tlaxcala,Ultrapasteurizada,Tiendas,5,8,2025,1,36.0,36.0,36.011687504499925
Veracruz,Coatzacoalcos,Ultrapasteurizada,Autoservicios,5,8,2025,1,33.47,33.65142857142857,33.536174816638834
Veracruz,Coatzacoalcos,Ultrapasteurizada,Tiendas,5,8,2025,1,28.8,28.314285714285717,28.59367790697162
Veracruz,Veracruz ,Ultrapasteurizada,Autoservicios,5,8,2025,1,36.1,35.74285714285714,35.981762509501564
Veracruz,Veracruz ,Ultrapasteurizada,Tiendas,5,8,2025,1,34.0,34.46714285714286,34.348589950615235
Veracruz,Xalapa,Ultrapasteurizada,Autoservicios,5,8,2025,1,35.58,35.57999999999999,35.56994651655857
Veracruz,Xalapa,Ultrapasteurizada,Tiendas,5,8,2025,1,35.17,35.17000000000001,35.04428995590597
Yucatán,Mérida,Ultrapasteurizada,Autoservicios,5,8,2025,1,34.42,34.494285714285716,34.31963242194667
Yucatán,Mérida,Ultrapasteurizada,Tiendas,5,8,2025,1,29.6,29.599999999999998,29.627597455690836
Zacatecas,Zacatecas,Pasteurizada,Autoservicios,5,8,2025,1,26.3,26.280000000000005,26.291158869918025
Zacatecas,Zacatecas,Pasteurizada,Tiendas,5,8,2025,1,25.75,25.75,25.75840700200656
Zacatecas,Zacatecas,Ultrapasteurizada,Autoservicios,5,8,2025,1,34.47,34.47,34.46420011663555
Zacatecas,Zacatecas,Ultrapasteurizada,Tiendas,5,8,2025,1,33.5,33.5,33.51206143580034
